선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
고명준,SSG,0.278,130,500,471,46,131,20,1,17,204,64,0,7
김강민,SSG,-,1,0,0,0,0,0,0,0,0,0,0,0
김건우,SSG,-,1,0,0,0,0,0,0,0,0,0,0,0
김성욱,SSG,0.195,56,132,123,10,24,6,0,2,36,13,1,0
김성현,SSG,0.217,59,137,115,15,25,3,0,1,31,11,4,1
김수윤,SSG,0.091,7,12,11,0,1,0,0,0,1,0,0,0
김찬형,SSG,0.178,44,78,73,4,13,2,0,0,15,5,1,0
김창평,SSG,-,4,0,0,1,0,0,0,0,0,0,0,0
김태윤,SSG,0.5,8,4,2,0,1,0,0,0,1,0,0,0
김택형,SSG,-,1,0,0,0,0,0,0,0,0,0,0,0
노경은,SSG,-,1,0,0,0,0,0,0,0,0,0,0,0
류효승,SSG,0.287,27,103,94,18,27,5,0,6,50,16,0,0
맥브룸,SSG,0.203,22,80,74,8,15,3,0,4,30,11,0,0
박성한,SSG,0.274,127,538,452,73,124,23,2,7,172,48,2,2
박지환,SSG,0.15,31,68,60,3,9,0,0,0,9,4,3,1
석정우,SSG,0.265,27,54,49,3,13,1,0,2,20,4,0,0
신범수,SSG,0.182,29,39,33,1,6,1,0,1,10,3,0,0
안상현,SSG,0.264,102,289,258,38,68,8,2,6,98,15,9,2
에레디아,SSG,0.339,96,415,375,46,127,18,0,13,184,54,0,2
오태곤,SSG,0.201,122,229,194,31,39,6,0,5,60,26,3,1
이로운,SSG,-,1,0,0,0,0,0,0,0,0,0,0,0
이승민,SSG,0.2,2,5,5,0,1,0,0,0,1,0,0,0
이율예,SSG,0.231,8,13,13,3,3,0,0,3,12,7,0,0
이정범,SSG,0.000,3,3,3,0,0,0,0,0,0,0,0,0
이지영,SSG,0.239,76,216,197,13,47,6,1,3,64,18,4,2
임근우,SSG,0.000,3,5,5,0,0,0,0,0,0,0,0,0
전영준,SSG,-,1,0,0,0,0,0,0,0,0,0,0,0
정준재,SSG,0.245,132,442,371,58,91,10,3,0,107,25,16,1
정현승,SSG,0.5,3,2,2,0,1,1,0,0,2,0,0,0
조병현,SSG,-,2,0,0,0,0,0,0,0,0,0,0,0
조형우,SSG,0.238,102,294,269,23,64,8,0,4,84,29,1,2
채현우,SSG,0.188,41,52,48,8,9,1,1,1,15,9,0,1
최민준,SSG,-,1,0,0,0,0,0,0,0,0,0,0,0
최상민,SSG,0.143,23,9,7,5,1,0,0,0,1,1,0,0
최정,SSG,0.244,95,406,340,54,83,12,0,23,164,63,0,3
최준우,SSG,0.191,78,192,152,17,29,0,0,3,38,22,3,4
최지훈,SSG,0.284,140,574,517,66,147,16,4,7,192,45,4,5
최현석,SSG,-,1,0,0,0,0,0,0,0,0,0,0,0
하재훈,SSG,0.143,18,61,56,6,8,0,0,3,17,8,0,1
한두솔,SSG,-,1,0,0,0,0,0,0,0,0,0,0,0
한유섬,SSG,0.273,128,511,455,50,124,24,0,15,193,71,1,2
현원회,SSG,0.305,21,62,59,6,18,1,0,1,22,6,0,0
홍대인,SSG,0.2,14,5,5,3,1,0,0,0,1,0,0,0
