선수명,팀명,G,SBA,SB,CS,SB%,OOB,PKO
강진성,NC,124,12,9,3,75.0,7,0
권희동,NC,55,2,2,0,100,1,0
김건태,NC,1,0,0,0,-,0,0
김기환,NC,62,19,15,4,78.9,3,3
김수윤,NC,7,0,0,0,-,0,0
김영규,NC,1,0,0,0,-,0,0
김주원,NC,69,8,6,2,75.0,1,0
김준완,NC,13,0,0,0,-,0,0
김진성,NC,1,0,0,0,-,0,0
김태군,NC,102,1,0,1,0.0,1,0
김태현,NC,1,0,0,0,-,0,0
나성범,NC,144,3,1,2,33.3,0,0
노시훈,NC,1,0,0,0,-,0,0
노진혁,NC,107,2,1,1,50.0,0,1
도태훈,NC,77,1,1,0,100,0,0
류진욱,NC,1,0,0,0,-,0,0
모창민,NC,3,1,0,1,0.0,0,0
박대온,NC,42,0,0,0,-,0,0
박민우,NC,50,15,12,3,80.0,3,0
박석민,NC,59,0,0,0,-,1,0
박시원,NC,1,0,0,0,-,0,0
박준영,NC,111,7,4,3,57.1,2,1
배민서,NC,2,0,0,0,-,0,0
신민혁,NC,1,0,0,0,-,0,0
안인산,NC,2,0,0,0,-,0,0
알테어,NC,143,25,20,5,80.0,5,0
양의지,NC,141,3,2,1,66.7,6,0
오장한,NC,1,0,0,0,-,0,0
오태양,NC,1,0,0,0,-,0,0
원종현,NC,4,0,0,0,-,0,0
윤형준,NC,51,1,0,1,0.0,2,0
이명기,NC,56,9,6,3,66.7,2,0
이용찬,NC,6,0,0,0,-,0,0
이우석,NC,1,0,0,0,-,0,0
이원재,NC,31,1,1,0,100,0,0
이재율,NC,23,2,1,1,50.0,2,0
임정호,NC,1,0,0,0,-,0,0
임창민,NC,1,0,0,0,-,0,0
전민수,NC,71,0,0,0,-,1,0
정범모,NC,19,0,0,0,-,0,0
정진기,NC,88,9,6,3,66.7,0,0
정현,NC,68,1,0,1,0.0,0,2
지석훈,NC,28,0,0,0,-,0,0
최금강,NC,1,0,0,0,-,0,0
최보성,NC,10,1,0,1,0.0,1,0
최승민,NC,48,7,4,3,57.1,0,1
최우재,NC,2,0,0,0,-,0,0
최정원,NC,72,17,10,7,58.8,1,1
홍성민,NC,2,0,0,0,-,0,0
